0.562341	0.0328958	0.0038242	0.0130066	0.000157407
0.316228	0.0288502	0.0054799	0.0143102	0.00167715
0.177828	0.0167529	0.00084077	0.0121957	0.000683934
0.1	0.0129469	0.000927495	0.0106728	0.000752282
0.0562341	0.00981768	0.000195832	0.00989815	0.000144645
0.0316228	0.0113603	0.00378812	0.00950936	0.00117802
0.0177828	0.00862679	0.00305763	0.00941855	0.00260649
0.01	0.00374526	0.000265951	0.00494206	0.00034849
0.00562341	0.00275594	0.000204656	0.00372582	0.000276932
0.00316228	0.00502163	0.00281948	0.00484218	0.00178118
0.00177828	0.00484434	0.00323358	0.00335647	0.00119872
0.001	0.00195721	0.000791471	0.0031395	0.00150127
0.000562341	0.000941568	6.55759e-05	0.00146347	0.000149712
0.000316228	0.000810693	6.66789e-05	0.00135898	0.00013275
0.000177828	0.000670654	3.59215e-05	0.00121729	9.22032e-05
0.0001	0.000570311	3.16259e-05	0.00109854	6.59484e-05
5.62341e-05	0.000460705	2.67183e-05	0.000825629	6.44636e-05
