0.562341	0.00408163	0.000508691	0.00796004	0.0007958
0.316228	0.00812635	0.000376022	0.00891781	0.000454666
0.177828	0.0129469	0.000927495	0.0106728	0.000752282
0.1	0.0165228	0.000412582	0.0117351	0.000257143
0.0562341	0.0172865	0.00124893	0.011565	0.000847682
0.0316228	0.0174805	0.00140792	0.0117484	0.000971019
0.0177828	0.0269585	0.00696991	0.0150646	0.0017623
0.01	0.029839	0.00839903	0.0153555	0.0014055
0.00562341	0.0306472	0.00780087	0.0171735	0.00183119
0.00316228	0.026646	0.00431646	0.0178251	0.00270351
0.00177828	0.0307216	0.0081311	0.0169709	0.00228712
0.001	0.0379333	0.00694282	0.0217526	0.00310414
0.000562341	0.033786	0.00640838	0.0204402	0.0033405
0.000316228	0.0371497	0.00673258	0.0223811	0.0035934
0.000177828	0.0551504	0.00999524	0.0268325	0.00327252
0.0001	0.0477614	0.00874642	0.0251825	0.00353007
5.62341e-05	0.0344161	0.00758059	0.0196974	0.00360608
3.16228e-05	0.0454616	0.00806895	0.0244626	0.00388088
1.77828e-05	0.0520633	0.00967921	0.0262486	0.0034803
1e-05	0.0433561	0.0102453	0.0212474	0.00338029
